index	file	label	text
0	Unrelated183.java	unrelated	package org mortbay jetty session id manager manages session i ds across multiple contexts session id manager extends life cycle boolean id in use string id add session list known sessions given id add session http session session remove session list known sessions given id remove session http session session call link http session invalidate known sessions given id invalidate all string id string new session id http servlet request request created string get worker name get cluster id node id strip node identifier located session id string get cluster id string node id get node id cluster id request string get node id string cluster id http servlet request request driver extends j frame j panel j panel new j panel j button j button new j button j button j button new j button j button j button new j button j button j button new j button j panel j panel new j panel j text field j text field new j text field border layout border layout new border layout border layout border layout new border layout titled border titled border test test j scroll pane j scroll pane new j scroll pane j text area j text area new j text area j button j button new j button j panel j panel new j panel j button j button new j button j button j button new j button driver test string title test try jb init set title title catch exception e e print stack trace jb init throws exception titled border new titled border j button set text prov j button add action listener new java awt event action listener action performed action event e j button action performed e j button set action command rapido j button set text rapido j button add action listener new java awt event action listener action performed action event e j button action performed e j button set text lsnr j button add action listener new java awt event action listener action performed action event e j button action performed e j button set text prov j button add action listener new java awt event action listener action performed action event e j button action performed e get content pane set layout border layout j panel set layout border layout j panel set border border factory create raised bevel border j panel set border border factory create raised bevel border j text area set border border factory create lowered bevel border j button add action listener new java awt event action listener action performed action event e j button action performed e j button set text local j button set minimum size new dimension j button set action command local j button set maximum size new dimension j panel set border border factory create raised bevel border j button set maximum size new dimension j button set minimum size new dimension j button set action command global j button set text global j button add action listener new java awt event action listener action performed action event e j button action performed e j button add action listener new java awt event action listener action performed action event e j button action performed e j button set action command listener j button set text lsnr j panel add j button null j panel add j button null j panel add j button null j panel add j button null j panel add j button null get content pane add j panel border layout north j panel add j button null j panel add j button null get content pane add j panel border layout center j panel add j text field border layout south j panel add j scroll pane border layout center get content pane add j panel border layout south j scroll pane get viewport add j text area null set size new dimension set default close operation window constants do nothing on close add window listener new window adapter window closing window event e test terminate
1	Authenticate43.java	authenticate	id otp authenticator java v wastl exp otp authenticator java authenticator webmail java uses one time passwords authentication using new challenge response authentication framework provide authentication based rfc one time passes copyright c devin kowatch this program free software redistribute modify terms lesser gnu general public license published free software foundation either version license option later version this program distributed hope useful without any warranty without even implied warranty merchantability fitness for a particular purpose see lesser gnu general public license details you received copy lesser gnu general public license along program write free software foundation inc temple place suite boston ma usa otp authenticator extends otp authenticator iface the version otp authenticator string version the default starting sequence otp start seq the default hash algorithm otp string dflt hash md cache active st x cache new st x default constructor otp authenticator super key otp cache new hashtable get auth display mngr auth display mngr get auth display mngr disp mngr null disp mngr new otp auth display mngr return disp mngr get version string get version return version re initilize authenticator init storage manager store register authenticator system register config scheme store store config add choice auth key simple otp authentication the server admin must create account users change passwords get new challenge changing password this displayed screen user tries change password password string get new challenge user data udata throws web mail exception otp state states new otp state otp state st new st string chal null random rand new random otp server server null string p data null boolean new account false get from cache udata get login cache active st cache new st states convience st states new st states st null not cache lets see logged p data udata get password data p data null p data length st new otp state p data else later code expects st set st new otp state dflt hash new account true try setup new seed seq new st null get random value pad chars rand val rand next int string buffer new seed new string buffer new seed append udata get domain substring rand val rand val rand val rand val digits already pad else rand val digits pad new seed append else rand val digits pad new seed append else digit pad new seed append new seed append string value of rand val new st new otp state st new st seed new seed string new st sequence string value of start seq new account use instance otp server new account chal otp server get new challenge new st seed start seq dflt hash else server new otp server st chal server get new challenge new st seed start seq catch no such algorithm exception e e print stack trace throw new web mail exception bad hash algorithm new otp new accounts st dummy as stored cache cause problems used new account st null keep track new otp state change password put into cache udata get login st new st return chal authenticate user authenticate post user data user data ud string dom string pass throws invalid password exception string login ud get login otp cache node n otp cache node cache get login otp state st otp server server string p data try st get from cache login cache active st st null p data ud get password data p data null p data length throw new invalid password exception password data st new otp state p data server new otp server st server check otp pass throw new invalid password exception bad password update password data next time need new pass st server get state ud set password data st get info string catch otp format exception e throw new invalid password exception bad otp format catch no such algorithm exception e throw new invalid password exception bad hash catch exception e throw new invalid password exception wtf done n active st remove from cache login cache active st change otp stream change password user data ud string newpass string vrfy throws invalid password exception string login ud get login otp state st null otp server server null string p data null st get from cache login cache new st st null throw new invalid password exception don know challenge new password newpass equals ignore case vrfy throw new invalid password exception password verify match st otp newpass try p data ud get password data p data null p data length get old otp first compare server new otp server new otp state p data server reinit otp st true throw new invalid password exception the new otp stream old one else we need verify format otp server new otp server st catch otp format exception e throw new invalid password exception bad format otp catch no such algorithm exception e throw new invalid password exception bad hash name we hex rep stored ud set password data server get state get info string remove cache kill active state stale remove from cache login cache new st cache active st get challenge authentication this get passed user data return approriate challenge user string get challenge user data ud throws web mail exception otp server server otp state st null string login ud get login string chal null string p data null st get from cache login cache active st st null p data ud get password data p data null p data length no password data set throw new web mail exception no password data available st new otp state p data try server new otp server st chal server get challenge catch otp format exception e e print stack trace never happen catch no such algorithm exception e e print stack trace either sanity check chal null throw new web mail exception failed get next challenge i expecting using soon put into cache login st null return chal private functions remove from cache string key type otp cache node node node otp cache node cache get key node null node new otp cache node type cache active st node active st null type cache new st node new st null node new st null node active st null cache remove key else cache put key node put into cache string key otp state ast otp state nst otp cache node node node otp cache node cache get key node null node new otp cache node ast nst else ast null node active st ast nst null node new st nst cache put key node get from cache string key type otp state sts otp cache node node node otp cache node cache get key node null type cache active st sts node active st type cache new st sts node new st otp state get from cache string key type otp cache node node otp state rtn node otp cache node cache get key rtn null node null type cache active st rtn node active st else type cache new st rtn node new st return rtn hashtable cache otp auth display mngr disp mngr otp authenticator simple authenticator java does simple authentication based user data check passwd created mon apr simple authenticator extends authenticator string version simple authenticator super string get version return version init storage store register config scheme store key simple store config add choice auth key very simple style authentication first login sets password password may changed authenticate post user data user data udata string domain string password throws invalid password exception udata check password password password equals throw new invalid password exception change password user data udata string passwd string verify throws invalid password exception udata set password passwd verify simple authenticator
2	Unrelated151.java	unrelated	opened close packet else bool opened false config vision rawcam compression config vision config raw cam config compress none big layer small layer big layer uv layer opened open packet fbkgen e get time stamp big layer cur null error displayed open packet return false fbkgen select save image layer raw camera generator chan y load save check inc fbkgen save buffer cur avail cur avail image size large may need set config vision rawcam transport tcp reopen raw cam return false config vision rawcam compression config vision config raw cam config compress none big layer small layer big layer layer opened open packet fbkgen e get time stamp big layer cur null error displayed open packet return false fbkgen select save image uv layer raw camera generator chan u load save check inc fbkgen save buffer cur avail cur avail image size large may need set config vision rawcam transport tcp reopen raw cam return false fbkgen select save image uv layer raw camera generator chan v load save check inc fbkgen save buffer cur avail cur avail image size large may need set config vision rawcam transport tcp reopen raw cam return false config vision rawcam compression config vision config raw cam config compress none opened close packet return true bool raw cam behavior write single channel filter bank event e filter bank generator fbkgen e get source config vision rawcam compression config vision config raw cam config compress none e get generator id event base vis raw camera egid config vision rawcam compression config vision config raw cam config compress jpeg e get generator id event base vis jpegegid jpeg generator jgen dynamic cast jpeg generator fbkgen jgen get current source format jpeg generator src grayscale return true unsigned layer fbkgen get num layers config vision rawcam skip open packet fbkgen e get time stamp layer cur null error displayed open packet return false fbkgen select save image layer config vision rawcam channel load save check inc fbkgen save buffer cur avail cur avail image size large may need set config vision rawcam transport tcp reopen raw cam return false close packet return true shared world state raw cam behavior close packet packet null return vis raw write cur packet cout used cur packet tavail avail robot name ers info target name cout tmax bandwidth cur packet f kb sec endl else cout tmax bandwidth cur packet f kb sec endl packet cur null avail last processed time get time bool raw cam behavior send close connection packet char msg close connection unsigned len strlen msg load save stringpad char buf char vis raw get write buffer len buf null std cerr could get buffer closing packet std endl return false unsigned used load save encode msg buf len used std cerr could write close packet std endl vis raw write used return true file author ejt name revision state exp
3	Unrelated237.java	unrelated	package com oncecorp visa bridge listening p title listening thread p p description call jms methods create connection session subscriber register message listener receive jms message transform message according configue definition field filter encryption mask call registered mpi message listener auditing logger plugin channel start stop register unregister get status etc functions also provided jmx related control p p copyright copyright c p p company once corporation p listening thread implements message listener protected string topic connection factory databridge tcf protected string topic databridge topic protected topic connection connection null protected topic session session null protected string listener null protected string client id null protected string channel null protected topic topic null protected topic subscriber sub null protected string status utils listening stop protected boolean running false protected list merchant i ds collections synchronized list new array list protected map messages null protected mpi message listener plugin null logger logger data bridge loger get logger listening thread get name protected hashtable jms props null protected string factory jndi null protected string topic jndi null protected boolean init flag false protected start stop time system current time millis protected string start stop reason null init listening name channel name startup status init string name string channel string status listener name channel channel set status status status null status equals listening utils plugin class not init set start stop reason utils plugin class not init client id generate client id set jms related configurable attributes jndi server connection factory jndi name topic jndi name set jms context attributes hashtable props string factory jndi string topic jndi logger debug do set jms context jms props props factory jndi factory jndi topic jndi topic jndi jms server maybe run different environment method return jndi context created configurable properties context get jms context logger debug begin get jms context jms props null try context ctx new initial context jms props logger debug success get jms context jms attributes return ctx catch exception e logger warn can get jms properties use default e return startup proxy get context string get connection factory jndi factory jndi null return topic connection factory else return factory jndi string get connection topic topic jndi null return topic else return topic jndi initialize jms related resources create connection session subscriber boolean initialize jms logger debug begin initialize jms status status init flag return true plugin null plugin initialized logger debug the listener listener initialized start listening service set status listening utils initialize error set start stop reason utils listening initial error logger debug exit initialize jms return false try context context get jms context topic connection factory tcf topic connection factory context lookup get connection factory jndi tcf null logger error topic connection factory found set start stop reason utils connection factory not found return false create connection logger debug creating connection connection tcf create topic connection connection set exception listener new connection exception listener try connection set client id client id catch exception cex logger warn client id alreadt exist cex logger debug setting clientid client id create session session connection create topic session true session auto acknowledge logger debug looking topic topic topic context lookup get connection topic get around problem publish subscribe using durable subscription logger debug creating durable subscriber string sstr get selector string logger debug selector string sstr sub session create durable subscriber topic client id sub session create durable subscriber topic client id sstr true sub set message listener init flag true listening utils stop action status start logger debug end initialize jms return true catch throwable init flag false logger error in initialize jms set start stop reason utils jms setup exception return false implemente message listener automatically called jms server message comes it decrypt received message first needed transform delivery mpi message listener finnally if exception caught mpi message listener return false listening message exception throwed message rollbakc queue later handler message message message boolean ok true string str try logger debug client id get message text message text text message message string encrypt str message get string property listening utils jms encryption mode logger debug msg message get string property listening utils jms message type message get string property listening utils jms merchant property message get string property listening utils jms message protocol message get string property listening utils jms message version encrypt str string body text get text if message encrypted decrypt encrypt str null encrypt str trim equals ignore case true triple des encrypter decrypter triple des encrypter get instance string ivstr message get string property listening utils jms encryption iv body decrypter decrypt body ivstr string type message get string property listening utils jms message type string version message get string property listening utils jms message version map messages null try messages message fields filter get message mapping bean get messages catch exception e messages null messages null messages contains key beans helper get message mapping key type version iterator lt messages key set iterator lt next logger debug message key lt next logger debug message type type version version defined ignore else properties props listening utils get message properties message document fromdoc get xml doc body element root message fields filter get message type root fromdoc type version root null logger debug message type type version version defined correctly please check xpath mpi messages xml root the message ignored else document doc transform msg type version fromdoc props call mpi message listener handler pre handled messages plugin null synchronized plugin logger debug before call plugin handle msg ok plugin handle msg props doc ok str return listener logger debug after call plugin handle msg catch throwable logger error exception message str exception happened ok false tell jms rollback message try ok throw new listening message exception client id message exception str session rollback logger error client id str rolled back else session commit logger debug client id message successfully committed catch exception e ok logger error rollback error e else logger error commit error e set current status exception status protected set exception status running start stop time system current time millis status utils listening exception set start stop reason utils running exception running false stop message listening stop stop stop message listening stop string msg logger debug enter stop msg set start stop reason msg init flag logger warn not initialized nothing return running status equals utils listening exception return try connection stop plugin null synchronized plugin plugin stop running false start stop time system current time millis catch exception e status utils listening exception logger error in stop e status utils listening stop logger debug exit stop get current listening thread status string get status return status set status string status status status start listening thread start start start listening thread start string msg logger debug enter start msg set start stop reason msg status equals utils listening exception init flag try sub null sub close connection close catch exception e logger warn try recreate jms connection e logger warn exception status initialized initialize init flag false running false status utils listening stop make initialize jms call initialize jms return running status utils listenting start return try plugin null synchronized plugin plugin start connection start running true start stop time system current time millis catch exception e running false status utils listening exception set start stop reason utils jms start exception logger error in start e status utils listenting start logger debug exit start register thread register logger debug enter register plugin null return connection null try sub null sub close connection close catch exception e logger warn try recreate jms connection e status listening utils register plugin register init flag false initialize jms unregister thread unregister logger debug enter unregister plugin null connection null return try sub close session unsubscribe client id connection stop connection close plugin unregister catch exception e logger error exception listening thread unregister e logger debug exit unregister generate unique client identify channel protected string generate client id channel null return listener else return listener c channel string get client id return client id string get listener name return listener string get channel name return channel protected string get selector string check merchant id string mstr listening utils jms merchant property boolean mflag false string sid string pstr logger debug enter get selector string iterator lt merchant i ds iterator lt next sid string lt next mstr mstr concat pstr sid mflag pstr mflag true mflag mstr mstr concat just check message type without version string tstr listening utils jms message type boolean tflag false listening message bean msg string version type messages null messages size listening utils contain all messages messages mflag return mstr else return array list msg list new array list pstr iterator lt messages values iterator lt next msg listening message bean lt next version msg get version version null version trim equals continue type msg get type msg list add type tstr tstr concat pstr type tflag tflag true pstr tflag tstr tstr concat logger debug mstr mstr tstr tstr check message type version string vstr boolean vflag false pstr iterator lt messages values iterator lt next msg listening message bean lt next version msg get version type msg get type version null version trim equals msg list contains type continue vstr vstr concat pstr listening utils jms message type type and listening utils jms message version version vflag vflag true pstr or logger debug vstr vstr boolean sflag false string sstr tflag vflag sflag true sstr tstr or vstr else tflag sflag true sstr tstr else vflag sflag true sstr vstr mflag sflag return mstr concat and concat sstr concat else mflag return mstr else sflag return sstr return null get xml document given protected document get xml doc string msg return xml utils get document from string msg transform message body xml document encrypt mask fields protected document transform msg string type string version document doc properties props logger debug enter transform msg message column data extract get message column data props type version doc list items null listening message bean bean beans helper retrive message messages type version bean null items bean get fields list encrypted list collections synchronized list new array list list masked list collections synchronized list new array list items null plugin null plugin accept filter message fields filter extract fields type version items doc message fields filter mask fields type version items doc message fields filter encrypt fields type version items doc message fields filter must encrypt items doc type version message column data extract check card number field props type version doc items logger debug exit transform msg return doc this happened listener stopped new messages map merchant ids set protected change filter logger debug enter change filter plugin null plugin accept filter change plugin accept dynamic filter change try plugin accept dynamic filter change session unsubscribe client id connection close init flag false initialize jms plugin set filter listening utils create filter properties messages merchant i ds string sstr get selector string logger debug selector string sstr sub session create durable subscriber topic client id sub session create durable subscriber topic client id sstr true sub set message listener logger debug change filter successfully catch throwable logger error in change filter logger debug exit change filter set messages map list set messages map map messages messages beans helper clone listening message map messages map get messages map return messages set merchant id list set merchant i ds list ids merchant i ds beans helper clone merchant list ids list get merchant i ds return merchant i ds get start stop time return start stop time set start stop time start stop time start stop time start stop time string get start stop reason return start stop reason set start stop reason string start stop reason set start stop reason utils listening start stop by server start stop reason set start stop reason id string start stop reason start stop reason id utils reason suffix start stop reason set start stop reason start stop reason start stop reason start stop reason utils reason suffix package com oncecorp visa bridge logging p title once mpi data bridge p p description p p copyright copyright c p p company once corporation p data bridge loger property configurator configurator new property configurator properties props new properties properties backup props null string config file name log j properties boolean configured false string ok ok logger log j init config this method returns logger particular name logger get logger string name configured config init config return logger get logger name this method returns logger whose name full name given logger get logger class clazz return data bridge loger get logger clazz get name this method returns logger whose name full name name given object instance logger get logger object obj return data bridge loger get logger obj get class get name this method initializes log j init config configured true props clear props set property log j root category debug dest props set property log j appender dest org apache log j console appender props set property log j appender dest layout org apache log j pattern layout props set property log j appender dest layout conversion pattern dd mmm yyyy hh mm ss sss p f l n configure false property configurator configure props log j logger get logger data bridge loger this method initializes log j config properties faile init config from file backup value props clear try props load data bridge loger get resource as stream config file name log j debug start init config from file call load configure false false logger get root logger remove appender dest catch exception e throw new logging exception loggign configuring error e e print stack trace log j error loggign configuring error e this method use properties data momery config log j it save config data config file string configure properties add props logger root logget logger get root logger try log j debug call configurator configure configurator configure add props root logget get logger repository log j debug call props put all props put all add props log j debug call save save log j debug return ok return ok return configure true catch exception e log j error config data valid e return config data valid reset configuration basic configurator reset configuration backup value props clear string configure return configure true string configure boolean change append return configure true change append this method use properties data momery config log j save string configure boolean save flag boolean change append try property configurator configure modify file property props change append save flag save return ok catch exception e property configurator configure modify file property backup props change append return config data valid properties modify file property properties p return modify file property p false this method converts config properties object it checks file property value see absolute put log file default working directory properties modify file property properties p boolean change append properties new props new properties new props put all p iterator new props key set iterator next string name string next name ends with file string value new props get property name file file new file value file absolute string path configuration manager get instance get databridge working directory logs value starts with path path value else path path value file new path new file path file parent new path get parent file parent null parent exists parent mkdirs new props set property name path else else change append name ends with append new props set property name true return new props this method backup config properties object backup value backup props new properties backup props put all props this method set new config properties object log j object set config properties properties p props clear props put all p this method load properties data form file load throws io exception log j debug enter load log j properties file string config file full name configuration manager get instance get databridge working directory file separator config file name input stream null try new file input stream config file full name catch exception e log j warn config file full name exist config file name index of file separator log j debug config file name relative path try path configuration manager get resource as stream config file name null log j debug get xml props clear props load else log j error can load log j properties file return this method saves log j config data file save log j debug enter save log j properties file string config file full name configuration manager get instance get databridge working directory config file name file file null file save file null try file new file config file full name file exists file read file write log j debug config file full name exist config file name index of file separator log j debug config file name relative path try path url url configuration manager get resource config file name url null string path url get file path null save file new file path file exists file read file write save file null else save file file save file null file save file catch exception e log j error exception geting configuration file name file null file null log j debug save log j properties name file get name string apath file get absolute path file tmp dir new file apath string ppath tmp dir get parent string oname file get name simple date format sdf new simple date format yyyy m mdd h hmmss string tmp file ppath file separator sdf format new date oname log j debug save old file tmp file file rename to new file tmp file try output stream new file output stream apath false props store catch io exception e log j error write log j properties file exception e log j debug saved log j properties else log j error can save log j properties file log j debug exit save log j properties this method used testing purpose main string args init config package com oncecorp visa bridge security provides support triple des encryption this mpi core modified config logger mechanism gang wu add databridge related configuration functions gang wu triple des encrypter logger logger data bridge loger get logger triple des encrypter get name string cipher text iv delimiter string cipher trans de sede cbc pkcs padding string key gen trans de sede secret key secret key triple des encrypter encrypter string jce provider jce provider string key store location keystore location string key store password keystore pwd string raw key alias rawkey alias string raw key password rawkey pwd string jce name null key store key store null string key strore file name null map props null constructor triple des encrypter try retreive triple des configuration data string jce provider string props get jce provider string keystore location string props get key store location string keystore pwd string props get key store password string rawkey alias string props get raw key alias string rawkey pwd string props get raw key password logger debug jce provider jce provider logger debug keystore location keystore location logger debug keystore pwd keystore pwd logger debug rawkey alias rawkey alias logger debug raw key password rawkey pwd add jce provider jce name null jce name equals jce provider jce provider null security add provider provider class name jce provider new instance jce name jce provider load keystore key store load keystore keystore location keystore pwd key strore file name keystore location get key key key get private key key store rawkey alias rawkey pwd generate secret key set secret key gen secret key key logger info triple des encrypter init finished catch exception e logger error failed init triple des encrypter e initialize encrypter configuration data synchronized initialize map props props props encrypter new triple des encrypter get singleton reference synchronized triple des encrypter get instance encrypter null encrypter new triple des encrypter return encrypter get key keystore private key get private key key store keystore string alias string pwd try get key return private key keystore get key alias pwd char array catch exception e logger error failed get key alias e return null get key keystore public key get public key key store keystore string alias string pwd try get key key key keystore get key alias pwd char array key instanceof private key get certificate key java security cert certificate cert keystore get certificate alias get key return cert get public key else return null catch exception e logger error failed get key alias e return null load keystore key store load keystore string location string pwd key store keystore null file input stream null try load keystore user home directory file file new file location new file input stream file keystore key store get instance key store get default type keystore load pwd char array close catch exception e logger error failed load keystore location e finally try null close catch io exception ioe logger error failed close file input stream loading keystore return keystore generate secret key secret key gen secret key key key throws exception byte rawkey key get encoded system println raw key encoded com ibm xml dsig util base encode rawkey de sede key spec keyspec new de sede key spec rawkey secret key factory keyfactory secret key factory get instance de sede secret key secret key keyfactory generate secret keyspec return secret key encrypt data string encrypt string msg throws exception cipher cipher cipher get instance cipher trans cipher init cipher encrypt mode get secret key get initialization vector byte iv cipher get iv byte buffer cipher final msg get bytes string result new string result base encode buffer result base encode iv logger info encryption finished logger debug result result return result decrypt data string decrypt string msg string iv str throws exception cipher cipher cipher get instance cipher trans iv parameter spec ivp new iv parameter spec base decode iv str cipher init cipher decrypt mode get secret key ivp string result new string cipher final base decode msg logger debug decryption finished logger debug decryption result result return result decrypt data string decrypt string msg throws exception msg null msg index of cipher text iv delimiter logger warn not combined encrypt return orignal return msg place msg index of cipher text iv delimiter string ctext msg substring place string iv str msg substring place cipher text iv delimiter length cipher cipher cipher get instance cipher trans iv parameter spec ivp new iv parameter spec base decode iv str cipher init cipher decrypt mode get secret key ivp string result new string cipher final base decode ctext logger debug decryption finished logger debug decryption result result return result returns secret key synchronized secret key get secret key return secret key sets secret key synchronized set secret key secret key secret key triple des encrypter secret key secret key map get settings return props synchronized key store get key store return key store string get key store file name return key strore file name package com oncecorp visa mpi messaging dom document message converter this enables conversion xml dom object associated java message instances proper attributes properties correctly initialized the content message definition xml file found within package gives proper direction mechanism structure message x path expressions used properly extract xml element method reflection invocation executed set proper attributes patented optimization strategies dom to msg converter definition binding types string binding type simple simple string binding type complex complex string binding type profile profile string binding type extension extension string binding type attrvalue attr string binding type profile request profile request string binding type signature signature string binding type cr cr local log j logger protected logger logger mpi logger get logger dom to msg converter get name caching method instances imporve performance hash map message method cache new hash map visa d message root protected string threed secure three d secure mpi interface message root protected string mpi interface mpi interface element version protected string msg version version text mpi message attribute id protected string mpi msg id id three d secure message attribute id protected string threed msg id id message extension attribute critical protected string extension critical critical message signature tag name protected string signature tag name signature profile name element protected string profile name profile name text profile scope element protected string profile scope profile data profile scope profile scopeid attribute protected string profile scope id scopeid profile data item element protected string profile data item profile data item profile uid attribute protected string profile uid uid profile request item element protected string profile request item profile request item defined d secure message elements protected vector msg elements mapping defined message elements ul li key element li li value defined elements key li ul protected hash map msg mapping initialize msg elements msg mapping msg elements new vector msg elements add cr req msg elements add cr res msg elements add ve req msg elements add ve res msg elements add pa req msg elements add pa res msg elements add error only cr res ve res pa res error element mapping defined msg mapping new hash map vector temp new vector temp add version temp add cr temp add serial number temp add i req msg mapping put cr res temp temp new vector temp add version temp add ch temp add url temp add protocol temp add i req temp add extension msg mapping put ve res temp temp new vector temp add version temp add merchant temp add purchase temp add pan temp add tx temp add i req temp add extension msg mapping put pa res temp temp new vector temp add version temp add error code temp add error message temp add error detail temp add vendor code msg mapping put error temp convert dom document mpi message message convert document doc throws exception prepare message id type version string msg id null string msg type null string msg version null element root null e null doc null throw new messaging exception unknown error codes error code error codes error message three d secure root element missing root element missing get message root root doc get document element get root name string name root get tag name logger debug message root element name try name equals ignore case dom to msg converter threed secure get message element e element xml util get first node by x path root message e null logger error message element missing throw new messaging exception unknown error codes error code error codes error message message message element missing message element missing get message id e get attribute node threed msg id null id attribute missing logger error message missing id attribute throw new messaging exception unknown error codes error code error codes error message message id message missing id attribute message missing id attribute msg id e get attribute threed msg id msg id null msg id length value throw new messaging exception unknown error codes error code error codes error message message id message id attribute value message id attribute value no checking undefined elements check undefined elements e get message type element e x util get first child element e check first child message element e find defined message element msg id e get message type msg type e get tag name get message version msg version xml util get value by x path e msg version msg version null id attribute missing logger error message missing version element throw new messaging exception msg id error codes error code error codes error message version version element missing version element missing else msg version length value throw new messaging exception msg id error codes error code error codes error message version version element value version element value else name equals ignore case dom to msg converter mpi interface get message type element e x util get first child element root get message id msg id e get attribute mpi msg id msg id null msg id length value throw new messaging exception unknown error codes error code error codes error message id mpi interface message id attribute value mpi interface message id attribute value get message type msg type e get tag name get message version msg version xml util get value by x path e msg version msg version null id attribute missing logger error message missing version element throw new messaging exception msg id error codes error code error codes error message version version element missing version element missing else msg version length value throw new messaging exception msg id error codes error code error codes error message version version element value version element value else logger error root element message recognized throw new messaging exception unknown error codes error code error codes error message name root element name recognized root element name recognized catch null pointer exception npe logger error element missed npe throw new messaging exception msg id error codes error code error codes error message element missed message id msg id type msg type version msg version element missed npe get message logging logger debug message id msg id logger debug message type msg type logger debug message version msg version return make conversion doc msg id msg type msg version this method performs actual conversion dom java instance message make conversion document doc string msg id string msg type string msg version throws messaging exception check support specific message type version message uid msg uid new message uid msg type msg version message meta info version supported msg uid throw new messaging exception msg id error codes error code error codes error message version version msg version supported software release message type msg type version msg version supported software release get message binding binding meta info binding message meta info get binding info msg uid string paths binding get paths string attributes binding get attributes string types binding get types string javatypes binding get javatypes check binding info paths null attributes null paths length attributes length logger error message binding error throw new messaging exception binding error get new message message msg message generator create msg type msg version set id first msg set id msg id get underlying message class msg class msg get class check already cached proper method information hash map method cache hash map message method cache get msg uid method cache null no caching info saving next time method cache new hash map paths length string path key paths method setter method extract method msg class paths attributes types javatypes setter method null if method found cannot continue logger error unable located proper setter method information throw new messaging exception unable located proper setter method information add proper setter method corresponding path method cache put path key setter method assigned method caches proper method cache structure message method cache put msg uid method cache set message attribute values method setter method null object arguments paths length try logger debug entry get argument value object value get value doc paths types logger debug value value first fetch proper method cache area setter method method method cache get paths invoke method arguments new object value setter method invoke msg arguments catch null pointer exception npe logger error element missed npe throw new messaging exception msg id error codes error code error codes error message element missed message id msg id type msg type version msg version element missed npe get message catch messaging exception logger error messaging exception caught converter throw new messaging exception msg id get error code get error msg get error detail get vendor code get message catch invocation target exception ite ite get target exception instanceof messaging exception messaging exception messaging exception ite get target exception logger error relecting invocation target exception throw new messaging exception msg id get error code get error msg get error detail get vendor code get message else logger error unexpected converting error ite throw new messaging exception ite get message catch exception exception logger error unexpected converting error exception throw new messaging exception exception get message we done return msg convenient method get setter method name protected string get setter name string attr char char array attr char array char array character upper case char array return set string value of char array method extract method class msg class string path string attribute string type string java type method setter method null try logging logger debug path path logger debug attr attribute logger debug type type logger debug javatype java type set parameter type class parameter types new class get javatype class java type get method setter method msg class get method get setter name attribute parameter types catch exception e return null return setter method convenient method get setter attribute value protected object get value document doc string xpath string type throws exception check binding type type equals ignore case binding type simple return get simple value doc xpath else type equals ignore case binding type complex return get complex value doc xpath else type equals ignore case binding type profile return get profile value doc xpath else type equals ignore case binding type extension return get extension value doc xpath else type equals ignore case binding type attrvalue return get attr value doc xpath else type equals ignore case binding type profile request return get profile request value doc xpath else type equals ignore case binding type signature return get signature value doc xpath else type equals ignore case binding type cr return get cr value doc xpath else logger error unknown binding type throw new messaging exception unknown binding type convenient method get simple type attribute value object get simple value document doc string xpath throws exception simple type get value return xml util get value by x path doc xpath convenient method get complex type attribute value object get complex value document doc string xpath throws exception complex type multiple values could existed node list nl xml util get node list by x path doc xpath nl get length return null prepare container string value new string nl get length get values value length value xml util get value by x path nl item text return result return value convenient method get profile type attribute value object get profile value document doc string xpath throws exception profile type need return array type profile node list nl xml util get node list by x path doc xpath nl get length return null prepare container profile value new profile nl get length logger debug profile value length get profile values nl get length get profile element element profile element element nl item prepare individual profile object profile profile new profile set attribute values profile set profile name xml util get value by x path profile element profile name get profile scope elements node list profile scopes xml util get node list by x path profile element profile scope logger debug profile scope profile scopes get length prepare prepare data container key scopeid value data item collection hash map profile data new hash map set profile data j j profile scopes get length j get individual profile scope element element profile scope element profile scopes item j get data item elements node list profile data items xml util get node list by x path profile scope profile data item prepare data itme container key uid value data item value hash map data items new hash map logger debug profile scope j item profile data items get length set data item values k k profile data items get length k get individual data item element element profile data item element profile data items item k add data item value container data items put profile data item get attribute profile uid xml util get value by x path profile data item text add data item collection contatiner profile data put profile scope get attribute profile scope id data items set profile data profile object profile set profile data profile data add profile container value profile return result return value
